Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-10-24,33-258,GSW,,PHO,L (-4),1,36:16,6,18,.333,3,11,.273,0,0,,1,6,7,3,0,1,3,3,15,5.9,+9
2,2,2023-10-27,33-261,GSW,@,SAC,W (+8),1,32:48,7,12,.583,2,4,.500,2,2,1.000,0,3,3,4,1,0,3,4,18,12.5,+4
3,3,2023-10-29,33-263,GSW,@,HOU,W (+11),1,29:15,7,12,.583,5,10,.500,0,0,,1,3,4,0,0,1,1,3,19,13.5,-2
4,,2023-10-30,33-264,GSW,@,NOP,W (+28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,4,2023-11-01,33-266,GSW,,SAC,W (+1),1,29:17,6,15,.400,1,4,.250,1,1,1.000,1,1,2,2,0,3,2,3,14,7.2,+10
6,5,2023-11-03,33-268,GSW,@,OKC,W (+2),1,32:38,6,10,.600,4,6,.667,2,2,1.000,0,3,3,1,0,0,1,4,18,12.4,0
7,6,2023-11-05,33-270,GSW,@,CLE,L (-11),1,31:45,5,14,.357,3,9,.333,2,2,1.000,2,1,3,2,1,0,2,2,15,8.5,-12
8,7,2023-11-06,33-271,GSW,@,DET,W (+11),1,28:11,8,16,.500,1,8,.125,0,0,,1,0,1,3,0,0,2,1,17,9.4,+1
9,8,2023-11-08,33-273,GSW,@,DEN,L (-3),1,32:03,5,12,.417,2,8,.250,3,6,.500,0,6,6,1,1,0,2,1,15,8.5,-13
10,9,2023-11-11,33-276,GSW,,CLE,L (-8),1,27:49,5,16,.313,2,5,.400,2,2,1.000,1,4,5,1,0,1,3,3,14,3.9,-7
11,10,2023-11-12,33-277,GSW,,MIN,L (-6),1,33:16,5,16,.313,3,10,.300,3,3,1.000,0,5,5,3,1,0,1,1,16,10.0,+4
12,11,2023-11-14,33-279,GSW,,MIN,L (-3),1,1:43,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
13,12,2023-11-16,33-281,GSW,,OKC,L (-19),1,27:26,1,10,.100,1,6,.167,2,2,1.000,0,2,2,3,1,0,2,1,5,-0.3,-2
14,13,2023-11-18,33-283,GSW,,OKC,L (-7),1,36:30,5,13,.385,3,9,.333,3,3,1.000,0,2,2,4,0,1,4,4,16,7.4,+4
15,14,2023-11-20,33-285,GSW,,HOU,W (+5),1,31:02,7,16,.438,5,11,.455,1,1,1.000,0,3,3,3,0,0,1,1,20,13.2,-3
16,15,2023-11-22,33-287,GSW,@,PHO,L (-8),1,24:58,8,17,.471,6,10,.600,1,1,1.000,1,2,3,1,0,1,2,3,23,13.8,-24
17,16,2023-11-24,33-289,GSW,,SAS,W (+6),1,28:49,3,11,.273,3,8,.375,6,7,.857,1,2,3,6,1,0,2,3,15,11.4,+7
18,17,2023-11-28,33-293,GSW,@,SAC,L (-1),1,35:47,6,14,.429,3,9,.333,5,6,.833,0,9,9,2,1,2,3,2,20,14.9,-5
19,18,2023-11-30,33-295,GSW,,LAC,W (+6),1,34:20,8,18,.444,2,7,.286,4,4,1.000,2,4,6,2,0,1,2,2,22,14.5,+8
20,19,2023-12-02,33-297,GSW,@,LAC,L (-1),1,33:26,5,13,.385,4,11,.364,3,4,.750,1,5,6,2,1,0,2,3,17,10.9,0
21,20,2023-12-06,33-301,GSW,,POR,W (+4),1,27:03,3,13,.231,1,8,.125,4,4,1.000,0,5,5,1,0,0,0,0,11,5.3,-6
22,21,2023-12-08,33-303,GSW,@,OKC,L (-2),1,38:40,8,15,.533,4,9,.444,2,2,1.000,1,3,4,0,0,1,4,4,22,11.4,+11
23,22,2023-12-12,33-307,GSW,@,PHO,L (-3),1,27:00,2,10,.200,1,8,.125,2,2,1.000,0,5,5,0,0,0,1,1,7,0.9,+4
24,23,2023-12-14,33-309,GSW,@,LAC,L (-8),1,32:03,9,15,.600,8,12,.667,4,4,1.000,0,1,1,5,2,0,0,1,30,28.5,-12
25,24,2023-12-16,33-311,GSW,,BRK,W (+4),1,33:32,7,19,.368,4,9,.444,6,6,1.000,2,3,5,3,1,0,0,2,24,18.1,+6
26,25,2023-12-17,33-312,GSW,@,POR,W (+4),1,29:08,11,16,.688,5,10,.500,1,1,1.000,0,4,4,1,1,0,1,3,28,21.9,-5
27,26,2023-12-19,33-314,GSW,,BOS,W (+6),1,39:37,9,21,.429,6,15,.400,0,0,,0,4,4,4,1,1,1,0,24,17.6,+7
28,27,2023-12-22,33-317,GSW,,WAS,W (+11),1,27:07,8,17,.471,4,10,.400,0,0,,0,3,3,2,0,0,2,0,20,11.6,+7
29,28,2023-12-23,33-318,GSW,,POR,W (+20),1,30:33,11,16,.688,6,10,.600,0,0,,1,2,3,0,0,0,3,1,28,19.1,+14
30,29,2023-12-25,33-320,GSW,@,DEN,L (-6),1,32:06,3,12,.250,3,10,.300,0,0,,0,6,6,1,1,1,3,1,9,2.6,-2
31,30,2023-12-28,33-323,GSW,,MIA,L (-12),1,25:20,4,11,.364,2,6,.333,3,4,.750,0,0,0,5,2,0,0,2,13,11.2,-26
32,31,2023-12-30,33-325,GSW,,DAL,L (-10),1,26:24,1,11,.091,1,6,.167,0,0,,0,2,2,1,0,0,1,0,3,-4.0,-7
33,32,2024-01-02,33-328,GSW,,ORL,W (+6),1,25:24,6,11,.545,3,8,.375,0,0,,0,3,3,2,0,1,1,4,15,10.1,+4
34,33,2024-01-04,33-330,GSW,,DEN,L (-3),1,35:08,9,18,.500,4,10,.400,2,2,1.000,0,3,3,3,1,1,0,2,24,18.9,-9
35,34,2024-01-05,33-331,GSW,,DET,W (+4),1,34:43,6,18,.333,3,9,.333,4,4,1.000,1,2,3,4,1,2,2,2,19,12.5,+14
36,35,2024-01-07,33-333,GSW,,TOR,L (-15),1,28:29,10,15,.667,5,7,.714,0,0,,0,0,0,3,0,0,2,0,25,18.6,-16
37,36,2024-01-10,33-336,GSW,,NOP,L (-36),1,24:09,5,10,.500,3,7,.429,0,0,,1,3,4,2,0,1,3,1,13,8.3,-17
38,37,2024-01-12,33-338,GSW,@,CHI,W (+9),1,33:59,9,19,.474,7,15,.467,5,6,.833,2,4,6,6,1,1,1,1,30,27.0,+10
39,38,2024-01-13,33-339,GSW,@,MIL,L (-11),1,35:32,7,23,.304,6,17,.353,1,1,1.000,2,1,3,3,0,0,2,2,21,8.7,-8
40,39,2024-01-15,33-341,GSW,@,MEM,L (-9),1,34:07,4,10,.400,1,4,.250,0,0,,0,0,0,3,0,0,0,1,9,5.3,-22
41,40,2024-01-24,33-350,GSW,,ATL,W (+22),1,30:09,8,18,.444,5,10,.500,3,3,1.000,1,1,2,3,0,1,2,2,24,15.6,+11
42,41,2024-01-25,33-351,GSW,,SAC,L (-1),1,31:07,5,14,.357,2,7,.286,4,4,1.000,0,1,1,1,1,1,1,5,16,7.9,-1
43,42,2024-01-27,33-353,GSW,,LAL,L (-1),1,46:58,9,24,.375,6,17,.353,0,0,,0,4,4,4,2,0,2,6,24,12.4,+2
44,,2024-01-30,33-356,GSW,,PHI,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,43,2024-02-02,33-359,GSW,@,MEM,W (+20),1,26:52,6,15,.400,2,9,.222,0,0,,0,2,2,0,0,1,0,0,14,7.2,+5
46,44,2024-02-03,33-360,GSW,@,ATL,L (-7),1,35:31,4,19,.211,2,13,.154,0,0,,0,4,4,2,3,1,1,0,10,3.6,-10
47,45,2024-02-05,33-362,GSW,@,BRK,W (+11),1,29:48,4,9,.444,0,3,.000,0,0,,0,6,6,3,2,0,1,1,8,7.8,-1
48,46,2024-02-07,33-364,GSW,@,PHI,W (+23),1,28:16,6,12,.500,4,5,.800,2,2,1.000,1,2,3,1,0,1,0,1,18,14.3,+24
49,,2024-02-08,34-000,GSW,@,IND,W (+22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,47,2024-02-10,34-002,GSW,,PHO,W (+1),1,24:20,2,10,.200,1,7,.143,0,0,,0,2,2,1,1,1,1,0,5,0.8,-3
51,48,2024-02-12,34-004,GSW,@,UTA,W (+22),1,29:55,11,19,.579,3,7,.429,1,1,1.000,1,5,6,2,0,0,1,0,26,19.7,+1
52,49,2024-02-14,34-006,GSW,,LAC,L (-5),1,29:38,4,14,.286,1,9,.111,3,3,1.000,0,3,3,1,0,1,1,3,12,3.9,-7
53,50,2024-02-15,34-007,GSW,@,UTA,W (+3),0,28:03,13,22,.591,7,13,.538,2,2,1.000,0,6,6,2,0,0,0,0,35,28.0,+7
54,51,2024-02-22,34-014,GSW,,LAL,W (+18),0,28:14,1,9,.111,1,4,.250,0,0,,0,4,4,5,1,0,0,2,3,2.0,+2
55,52,2024-02-23,34-015,GSW,,CHO,W (+13),0,21:28,5,11,.455,3,8,.375,0,0,,0,2,2,0,1,0,3,0,13,5.9,+2
56,53,2024-02-25,34-017,GSW,,DEN,L (-16),0,30:42,7,15,.467,5,13,.385,4,4,1.000,0,2,2,1,0,0,2,4,23,13.0,+2
57,54,2024-02-27,34-019,GSW,@,WAS,W (+11),0,27:18,9,16,.563,6,11,.545,1,1,1.000,0,3,3,4,0,0,2,2,25,18.3,+4
58,55,2024-02-29,34-021,GSW,@,NYK,W (+11),0,26:49,6,16,.375,4,10,.400,0,0,,1,4,5,0,0,0,2,1,16,6.7,-13
59,56,2024-03-01,34-022,GSW,@,TOR,W (+15),1,29:42,5,13,.385,4,9,.444,0,0,,1,5,6,1,3,0,2,2,14,10.0,0
60,57,2024-03-03,34-024,GSW,@,BOS,L (-52),1,12:29,2,4,.500,1,3,.333,1,1,1.000,0,2,2,1,0,0,1,1,6,3.9,-20
61,58,2024-03-06,34-027,GSW,,MIL,W (+35),0,21:08,4,7,.571,2,5,.400,0,0,,0,2,2,4,0,0,0,1,10,9.7,+17
62,59,2024-03-07,34-028,GSW,,CHI,L (-3),0,27:52,9,21,.429,5,12,.417,2,3,.667,0,1,1,2,2,0,0,1,25,16.8,-11
63,60,2024-03-09,34-030,GSW,,SAS,L (-13),0,24:51,8,16,.500,5,10,.500,6,6,1.000,0,2,2,1,0,1,3,4,27,16.4,+2
64,61,2024-03-11,34-032,GSW,@,SAS,W (+10),1,30:13,8,21,.381,4,10,.400,1,2,.500,1,1,2,2,1,0,1,0,21,11.5,-7
65,62,2024-03-13,34-034,GSW,@,DAL,L (-10),1,26:46,3,13,.231,2,7,.286,0,0,,1,3,4,0,1,1,2,0,8,1.4,-13
66,63,2024-03-16,34-037,GSW,@,LAL,W (+7),0,29:33,9,15,.600,5,10,.500,3,3,1.000,1,3,4,3,0,0,0,1,26,22.4,+1
67,64,2024-03-18,34-039,GSW,,NYK,L (-7),0,30:42,6,15,.400,5,10,.500,1,1,1.000,1,1,2,8,2,1,0,0,18,19.2,+11
68,65,2024-03-20,34-041,GSW,,MEM,W (+21),0,25:21,9,18,.500,5,11,.455,0,0,,0,0,0,2,1,0,0,0,23,16.4,+13
69,66,2024-03-22,34-043,GSW,,IND,L (-12),0,28:24,6,15,.400,3,10,.300,2,2,1.000,0,4,4,2,1,0,3,2,17,8.7,-7
70,67,2024-03-24,34-045,GSW,@,MIN,L (-4),0,32:55,6,15,.400,3,11,.273,1,1,1.000,0,3,3,2,0,0,3,3,16,6.0,-6
71,68,2024-03-26,34-047,GSW,@,MIA,W (+21),1,30:58,11,20,.550,6,14,.429,0,0,,1,4,5,2,0,1,1,1,28,21.0,+25
72,69,2024-03-27,34-048,GSW,@,ORL,W (+8),1,32:16,6,13,.462,3,8,.375,0,0,,0,0,0,2,0,0,3,2,15,5.9,+5
73,,2024-03-29,34-050,GSW,@,CHO,W (+18),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
74,70,2024-03-31,34-052,GSW,@,SAS,W (+4),1,29:16,5,13,.385,2,8,.250,1,1,1.000,0,2,2,3,2,0,2,0,13,8.6,-3
75,71,2024-04-02,34-054,GSW,,DAL,W (+4),1,28:15,5,14,.357,2,8,.250,2,2,1.000,0,3,3,2,1,0,2,3,14,6.3,-4
76,72,2024-04-04,34-056,GSW,@,HOU,W (+23),1,29:14,11,15,.733,7,11,.636,0,0,,0,3,3,4,0,0,3,3,29,22.4,+20
77,73,2024-04-05,34-057,GSW,@,DAL,L (-2),1,33:04,7,17,.412,2,8,.250,0,0,,1,2,3,2,3,0,2,0,16,10.6,+5
78,74,2024-04-07,34-059,GSW,,UTA,W (+8),1,28:09,12,23,.522,6,13,.462,2,2,1.000,0,5,5,4,1,0,1,1,32,24.6,+11
79,75,2024-04-09,34-061,GSW,@,LAL,W (+14),1,33:00,10,16,.625,5,10,.500,2,2,1.000,0,0,0,3,1,1,2,2,27,20.8,+11
80,,2024-04-11,34-063,GSW,@,POR,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
81,76,2024-04-12,34-064,GSW,,NOP,L (-5),1,38:00,6,19,.316,3,9,.333,4,4,1.000,2,4,6,1,1,2,2,1,19,11.4,+8
82,77,2024-04-14,34-066,GSW,,UTA,W (+7),1,19:31,7,13,.538,6,12,.500,5,5,1.000,0,3,3,3,0,1,0,0,25,22.4,0